HosNum1,HosNum2,Distance
CB007,CB073,202.2192508
CB007,CB074,210.697487
CB007,CB075,209.0402061
CB007,CB076,229.7881843
CB007,CB077,152.2388985
CB007,CB078,228.300838
CB007,CB079,157.1465806
CB007,CB080,177.2250992
CB007,CB081,183.135941
CB007,CB082,152.8661046
CB007,CB083,183.8724259
CB007,CB084,128.5890274
CB007,CB085,155.0057208
CB007,CB086,358.2103798
CB007,CB087,101.9194137
CB007,CB088,180.0651797
CB007,CB089,331.3715716
CB007,CB090,189.5324135
CB007,CB091,312.826742
CB007,CB092,352.9366484
CB007,CB093,348.0062782
CB007,CB094,132.4849517
CB007,CB095,167.0814846
CB007,CB096,164.6448588
CB007,CB097,168.6047572
CB007,CB098,135.1349638
CB007,CB099,72.85487505
CB007,CB100,243.1417767
CB007,CB101,262.5174325
CB007,CB102,237.0850162
CB007,CB103,167.9672873
CB007,CB104,161.6705878
CB007,CB105,344.9541242
CB007,CB106,271.645845
CB007,CB107,93.3628202
CB007,CB108,260.4730777
CB007,CB109,97.21931984
CB007,CB110,287.9365994
CB007,CB111,285.4111065
CB007,CB112,201.9271324
CB007,CB113,191.9561023
CB007,CB114,260.4834025
CB007,CB115,150.9439656
CB007,CB116,190.003818
CB007,CB117,128.9273159
CB007,CB118,317.474725
CB007,CB119,224.8992746
CB007,CB120,133.6894668
CB007,CB121,155.3270228
CB008,CB001,253.9389743
CB008,CB002,278.758772
CB008,CB003,202.1094838
CB008,CB004,186.4280827
CB008,CB005,228.0913234
CB008,CB006,216.1381251
CB008,CB007,187.2147999
CB008,CB008,0
CB008,CB009,122.1560621
CB008,CB010,134.038175
CB008,CB011,178.7840767
CB008,CB012,100.7946261
CB008,CB013,169.9914323
CB008,CB014,165.5809108
CB008,CB015,114.3970356
CB008,CB016,122.2131441
CB008,CB017,169.8654362
CB008,CB018,127.6635565
CB008,CB019,227.2379502
CB008,CB020,197.9959628
CB008,CB021,133.1699274
CB008,CB022,104.0195578
CB008,CB023,97.05240391
CB008,CB024,97.35413956
CB008,CB025,55.21758992
CB008,CB026,50.66787808
CB008,CB027,27.40983311
CB008,CB028,68.65873645
CB008,CB029,14.59750179
CB008,CB030,23.70893932
CB008,CB031,61.6608448
CB008,CB032,77.57098393
CB008,CB033,105.1664328
CB008,CB034,183.8407859
CB008,CB035,196.467117
CB008,CB036,134.229986
CB008,CB037,183.2458702
CB008,CB038,155.9889761
CB008,CB039,106.7542192
CB008,CB040,75.35782894
CB008,CB041,129.7420647
CB008,CB042,107.2386486
CB008,CB043,136.0844094
CB008,CB044,216.9599767
CB008,CB045,194.7438506
CB008,CB046,50.37624427
CB008,CB047,85.99143456
CB008,CB048,153.4951455
CB008,CB049,92.04114024
CB008,CB050,172.2727513
CB008,CB051,189.8847687
CB008,CB052,183.5728663
CB008,CB053,118.1926298
CB008,CB054,202.1386871
CB008,CB055,70.71485817
CB008,CB056,128.9837906
CB008,CB057,110.0436449
CB008,CB058,137.0550001
CB008,CB059,179.3457971
CB008,CB060,184.4585554
CB008,CB061,204.7337278
CB008,CB062,117.126821
CB008,CB063,202.610595
CB008,CB064,229.5833888
CB008,CB065,156.8726927
CB008,CB066,152.7326638
CB008,CB067,221.7534215
CB008,CB068,234.1478792
CB008,CB069,288.0271501
CB008,CB070,204.35765
CB008,CB071,265.5832057
CB008,CB072,296.5351469
CB008,CB073,285.394976
CB008,CB074,275.4013908
CB008,CB075,213.9318726
CB008,CB076,245.4627678
CB008,CB077,262.0732488
CB008,CB078,53.70469185
CB008,CB079,232.1664397
CB008,CB080,256.569147
CB008,CB081,285.1079117
CB008,CB082,297.2865073
CB008,CB083,362.2838875
CB008,CB084,205.3761745
CB008,CB085,185.8823864
CB008,CB086,282.429837
CB008,CB087,87.06282009
CB008,CB088,238.0059075
CB008,CB089,199.1659043
CB008,CB090,179.015353
CB008,CB091,230.2133176
CB008,CB092,166.0434121
CB008,CB093,160.8701016
CB008,CB094,65.18159467
CB008,CB095,342.7470231
CB008,CB096,277.663974
CB008,CB097,138.8846256
CB008,CB098,258.0068234
CB008,CB099,200.2732855
CB008,CB100,193.4891322
CB008,CB101,131.9204543
CB008,CB102,77.51251798
CB008,CB103,31.45191852
CB008,CB104,169.2537431
CB008,CB105,191.5375531
CB008,CB106,186.5128989
CB008,CB107,276.300149
CB008,CB108,81.37731217
CB008,CB109,100.1079486
CB008,CB110,114.0515732
CB008,CB111,98.34913155
CB008,CB112,304.4212772
CB008,CB113,48.0306909
CB008,CB114,147.3827369
CB008,CB115,216.4980478
CB008,CB116,169.6640298
CB008,CB117,76.60834376
CB008,CB118,133.4831527
CB008,CB119,119.8187033
CB008,CB120,151.0197051
CB008,CB121,175.7965344
CB009,CB001,133.4361085
CB009,CB002,162.3229832
CB009,CB003,113.0092642
CB009,CB004,76.27423052
CB009,CB005,131.09338
CB009,CB006,104.387982
CB009,CB007,96.99277084
CB009,CB008,122.1560621
CB009,CB009,0
CB009,CB010,13.03331934
CB009,CB011,272.9448488
CB009,CB012,63.01770745
CB009,CB013,81.45519069
CB009,CB014,55.88303014
CB009,CB015,7.867446544
CB009,CB016,53.70581908
CB009,CB017,96.47332865
CB009,CB018,66.22613685
CB009,CB019,120.2273261
CB009,CB020,76.07125554
CB009,CB021,57.70312815
CB009,CB022,42.02190618
CB009,CB023,61.26488068
CB009,CB024,71.73946191
CB009,CB025,93.52254762
CB009,CB026,166.9473541
CB009,CB027,124.6558372
CB009,CB028,129.1256721
CB009,CB029,133.0450085
CB009,CB030,144.8685494
CB009,CB031,180.7159569
CB009,CB032,186.455645
CB009,CB033,227.2529363
CB009,CB034,295.7074414
CB009,CB035,279.1075002
CB009,CB036,251.1652384
CB009,CB037,274.9578741
CB009,CB038,245.3736924
