ID1,Affinal_ID,Affinal_r
6002380,6002147,"[0,0.125)   "
6002380,6002202,"[0,0.125)   "
6002380,6002410,"[0,0.125)   "
6002381,6002030,"[0,0.125)   "
6002381,6002147,"[0,0.125)   "
6002381,6002202,"[0,0.125)   "
6002381,6002410,"[0,0.125)   "
6002382,6002030,"[0,0.125)   "
6002382,6002147,"[0,0.125)   "
6002382,6002202,"[0,0.125)   "
6002382,6002410,"[0,0.125)   "
6002390,6002002,"[0,0.125)   "
6002390,6002269,"[0,0.125)   "
6002390,6002476,"[0,0.125)   "
6002390,6002551,"[0,0.125)   "
6002391,6002002,"[0,0.125)   "
6002391,6002269,"[0,0.125)   "
6002391,6002476,"[0,0.125)   "
6002391,6002551,"[0,0.125)   "
6002394,6002175,"[0,0.125)   "
6002395,6002175,"[0,0.125)   "
6002408,6002205,"[0,0.125)   "
6002408,6002377,"[0,0.125)   "
6002408,6002462,"[0,0.125)   "
6002408,6002210,"[0,0.125)   "
6002408,6003047,"[0,0.125)   "
6002409,6002210,"[0,0.125)   "
6002409,6003047,"[0,0.125)   "
6002438,6002841,"[0,0.125)   "
6002438,6002343,"[0,0.125)   "
6002438,6002370,"[0,0.125)   "
6002439,6002502,"[0,0.125)   "
6002439,6002840,"[0,0.125)   "
6002439,6002841,"[0,0.125)   "
6002439,6002274,"[0,0.125)   "
6002439,6002966,"[0,0.125)   "
6002439,6002343,"[0,0.125)   "
6002439,6002361,"[0,0.125)   "
6002439,6002370,"[0,0.125)   "
6002440,6002502,"[0,0.125)   "
6002440,6002840,"[0,0.125)   "
6002440,6002841,"[0,0.125)   "
6002440,6002274,"[0,0.125)   "
6002440,6002966,"[0,0.125)   "
6002440,6002343,"[0,0.125)   "
6002440,6002361,"[0,0.125)   "
6002440,6002370,"[0,0.125)   "
6002460,6002030,"[0,0.125)   "
6002460,6002147,"[0,0.125)   "
6002460,6002202,"[0,0.125)   "
6002460,6002410,"[0,0.125)   "
6002464,6002030,"[0,0.125)   "
6002464,6002147,"[0,0.125)   "
6002464,6002202,"[0,0.125)   "
6002464,6002410,"[0,0.125)   "
6002465,6002030,"[0,0.125)   "
6002465,6002723,"[0,0.125)   "
6002465,6002147,"[0,0.125)   "
6002465,6002202,"[0,0.125)   "
6002465,6002210,"[0,0.125)   "
6002465,6002410,"[0,0.125)   "
6002466,6002030,"[0,0.125)   "
6002466,6002723,"[0,0.125)   "
6002466,6002147,"[0,0.125)   "
6002466,6002202,"[0,0.125)   "
6002466,6002210,"[0,0.125)   "
6002466,6002410,"[0,0.125)   "
6002477,6002387,"[0,0.125)   "
6002477,6002269,"[0,0.125)   "
6002477,6002551,"[0,0.125)   "
6002478,6002387,"[0,0.125)   "
6002478,6002269,"[0,0.125)   "
6002478,6002551,"[0,0.125)   "
6002485,6002157,"[0,0.125)   "
6002485,6002493,"[0,0.125)   "
6002491,6002062,"[0,0.125)   "
6002491,6002064,"[0,0.125)   "
6002492,6002121,"[0,0.125)   "
6002492,6002187,"[0,0.125)   "
6002492,6002060,"[0,0.125)   "
6002492,6002062,"[0,0.125)   "
6002492,6002064,"[0,0.125)   "
6002494,6002121,"[0,0.125)   "
6002494,6002187,"[0,0.125)   "
6002494,6002060,"[0,0.125)   "
6002494,6002062,"[0,0.125)   "
6002494,6002064,"[0,0.125)   "
6002495,6002055,"[0,0.125)   "
6002495,6002121,"[0,0.125)   "
6002495,6002187,"[0,0.125)   "
